iter	Logloss
368	0.09701683701
369	0.09690479414
370	0.0965176804
371	0.09640778715
372	0.09639179882
373	0.09617875307
374	0.09590317623
375	0.09555997718
376	0.09532895189
377	0.09490452028
378	0.09473405958
379	0.0942551734
380	0.09383749545
381	0.09354967878
382	0.09331586309
383	0.09289894021
384	0.09252139048
385	0.09245273312
386	0.09235686466
387	0.09216073905
388	0.09197847649
389	0.0915308736
390	0.09102551368
391	0.09098045133
392	0.09072006981
393	0.09054557651
394	0.0903485772
395	0.09004852057
396	0.08972827846
397	0.08919347326
398	0.08907270057
399	0.0889699528
400	0.08862161531
401	0.08852894679
402	0.08818200461
403	0.0878465164
404	0.0877003832
405	0.08757319677
406	0.08726145429
407	0.08690329703
408	0.08654117308
409	0.0864776637
410	0.08646914003
411	0.0862691433
412	0.08602798349
413	0.0858542191
414	0.08548031764
415	0.08515745464
416	0.08504211562
417	0.08490664593
418	0.0848233195
419	0.08454226357
420	0.0842281177
421	0.08399599276
422	0.08364628598
423	0.08347019463
424	0.08345206931
425	0.08309087697
426	0.08280998861
427	0.08269888306
428	0.08210527097
429	0.08177007896
430	0.08156249714
431	0.08137417287
432	0.08085266271
433	0.08073258855
434	0.08053685026
435	0.08032478905
436	0.08015070532
437	0.07990511521
438	0.07954003102
439	0.07946086617
440	0.07921229944
441	0.07891288663
442	0.07873930918
443	0.07858868526
444	0.07839901643
445	0.07811310287
446	0.07791709742
447	0.07775622473
448	0.07744338856
449	0.07710528352
450	0.07706488649
451	0.07702063286
452	0.07676675555
453	0.07673024987
454	0.07641710115
455	0.07615422119
456	0.07586829985
457	0.07548119879
458	0.07545877529
459	0.07509455439
460	0.07475187889
461	0.07473080064
462	0.07444058771
463	0.07407968374
464	0.07383977919
465	0.07357246621
466	0.07330553483
467	0.07307974309
468	0.07304511862
469	0.07294903043
470	0.07292909916
471	0.07270384025
472	0.07246437321
473	0.07221279103
474	0.0720917804
475	0.07202823971
476	0.07186161122
477	0.07162498044
478	0.07145984763
479	0.0712871892
480	0.07108131372
481	0.07069265812
482	0.07038234854
483	0.0701687469
484	0.07012968452
485	0.06982027961
486	0.06981244052
487	0.06968779832
488	0.06955219781
489	0.06954509077
490	0.06928559794
491	0.06913825887
492	0.06882156545
493	0.06874414572
494	0.06848558939
495	0.06829521269
496	0.06806524648
497	0.06784901191
498	0.06765147821
499	0.06750788101
