threshold,accuracy,recall_0,recall_1,f1_0,f1_1,f1_macro
0.1,0.598,0.0,1.0,0.0,0.7484355444305382,0.3742177722152691
0.15,0.598,0.0004975124378109452,0.9996655518394649,0.0009940357852882703,0.7483725588382574,0.3746832973117728
0.2,0.5974,0.001990049751243781,0.9976588628762542,0.0039584364176150424,0.7477127459581401,0.37583559118787757
0.25,0.595,0.011940298507462687,0.9869565217391304,0.023154848046309694,0.7445439636684749,0.3838494058573923
0.3,0.5892,0.03034825870646766,0.9648829431438127,0.05606617647058824,0.7374744376278118,0.3967703070492
0.35,0.5784,0.07064676616915423,0.919732441471572,0.11872909698996656,0.7229232386961093,0.42082616784303795
0.4,0.5634,0.1472636815920398,0.84314381270903,0.21333333333333335,0.6978546712802768,0.4555940023068051
0.45,0.5402,0.25323383084577117,0.7331103678929766,0.30690382876092853,0.6559928175968877,0.48144832317890807
0.5,0.5068,0.3880597014925373,0.5866220735785953,0.38748137108792846,0.5872112487445598,0.4873463099162441
0.55,0.4792,0.527363184079602,0.4468227424749164,0.4487722269263336,0.5064442759666414,0.47760825144648755
0.6,0.456,0.6840796019900498,0.30267558528428096,0.5027422303473492,0.3995584988962472,0.45115036462179825
0.65,0.4362,0.8,0.19163879598662206,0.5328914664457333,0.28902900378310215,0.4109602351144177
0.7,0.417,0.891542288557214,0.0979933110367893,0.5514694568395138,0.1673807483576121,0.3594251025985629
0.75,0.413,0.9552238805970149,0.048494983277591976,0.566789667896679,0.08992248062015504,0.328356074258417
0.8,0.4058,0.9835820895522388,0.017391304347826087,0.5709747292418773,0.033821138211382114,0.3023979337266297
0.85,0.4022,0.9965174129353234,0.0026755852842809363,0.5726947819871336,0.005324459234608985,0.2890096206108713
