iter	Passed	Remaining
402	17529	4219
403	17607	4184
404	17683	4147
405	17756	4111
406	17837	4075
407	17923	4041
408	17991	4003
409	18062	3964
410	18133	3926
411	18210	3889
412	18290	3852
413	18365	3815
414	18446	3778
415	18526	3740
416	18603	3702
417	18686	3665
418	18764	3627
419	18839	3588
420	18916	3549
421	19004	3512
422	19082	3473
423	19164	3435
424	19249	3396
425	19326	3357
426	19405	3317
427	19482	3277
428	19555	3236
429	19640	3197
430	19725	3157
431	19813	3118
432	19903	3079
433	19986	3039
434	20062	2997
435	20141	2956
436	20220	2915
437	20300	2873
438	20379	2831
439	20459	2789
440	20537	2747
441	20614	2705
442	20693	2662
443	20773	2620
444	20856	2577
445	20935	2534
446	21013	2491
447	21098	2448
448	21180	2405
449	21261	2362
450	21341	2318
451	21414	2274
452	21493	2230
453	21574	2185
454	21652	2141
455	21729	2096
456	21823	2053
457	21901	2008
458	21978	1963
459	22054	1917
460	22131	1872
461	22213	1827
462	22297	1781
463	22376	1736
464	22456	1690
465	22534	1644
466	22611	1597
467	22690	1551
468	22772	1505
469	22850	1458
470	22929	1411
471	23011	1365
472	23086	1317
473	23167	1270
474	23253	1223
475	23332	1176
476	23413	1128
477	23493	1081
478	23570	1033
479	23653	985
480	23735	937
481	23819	889
482	23898	841
483	23975	792
484	24057	744
485	24132	695
486	24219	646
487	24299	597
488	24375	548
489	24455	499
490	24535	449
491	24610	400
492	24689	350
493	24766	300
494	24842	250
495	24920	200
496	24999	150
497	25076	100
498	25157	50
499	25246	0
